original_landlord,prefixes_leased,unique_tenants,avg_transitions,avg_churn_ratio,pct_returned,avg_min_hold_sec,avg_median_hold_sec
54339,25,25,4.0,0.25,0.0,0.0,0.5
931,3,3,267.6667,0.4981,100.0,0.3333,288.0
5511,3,3,2.0,0.0,0.0,37551.0,37551.0
47122,2,2,19.0,0.4734,100.0,0.0,0.5
203794,2,2,2.0,0.0,0.0,125987.0,125987.0
29632,2,2,2.0,0.0,0.0,2.0,2.0
211440,2,2,3.0,0.3333,100.0,15794.0,61908.0
212238,2,2,4.0,0.3667,100.0,388.5,16699.0
215898,2,2,32.0,0.4782,100.0,0.0,0.75
8473,2,2,1.0,0.0,100.0,60578.0,60578.0
215845,1,1,20.0,0.45,0.0,0.0,1.0
214466,1,1,1.0,0.0,100.0,0.0,0.0
212598,1,1,17.0,0.4706,100.0,0.0,1.0
212477,1,1,3.0,0.3333,100.0,749.0,34504.0
264409,1,1,89.0,0.4944,100.0,0.0,1.0
207713,1,1,133.0,0.4962,100.0,0.0,3.0
207021,1,1,3.0,0.3333,100.0,279.0,3074.5
393560,1,1,17.0,0.4706,100.0,0.0,5.0
202248,1,1,7.0,0.4286,100.0,0.0,0.5
200235,1,1,3.0,0.3333,100.0,21.0,29.0
199731,1,1,14.0,0.4286,0.0,0.0,3.0
397203,1,1,1.0,0.0,0.0,90.0,90.0
62240,1,1,5.0,0.4,100.0,11411.0,20914.0
58343,1,1,26.0,0.4615,0.0,0.0,24.0
47154,1,1,27.0,0.4815,100.0,0.0,3.5
47516,1,1,23.0,0.4783,100.0,0.0,1.5
21859,1,1,2.0,0.0,0.0,749.0,749.0
2914,1,1,18.0,0.4444,0.0,0.0,0.0
4466,1,1,1.0,0.0,100.0,24.0,24.0
8561,1,1,1.0,0.0,100.0,30.0,30.0
15169,1,1,4.0,0.25,0.0,1.0,1.0
18186,1,1,710.0,0.4986,0.0,0.0,6.0
20200,1,1,1925.0,0.4997,100.0,0.0,20.0
20473,1,1,10.0,0.4,0.0,8.0,66.0
25233,1,1,37.0,0.4865,100.0,0.0,5.0
1921,1,1,10.0,0.4,0.0,540.0,552.0
25773,1,1,2.0,0.0,0.0,40.0,40.0
26383,1,1,9.0,0.4444,100.0,49.0,2326.0
29226,1,1,2.0,0.0,0.0,5520.0,5520.0
33659,1,1,1.0,0.0,100.0,4165.0,4165.0
35021,1,1,13.0,0.4615,100.0,34.0,115.0
40513,1,1,9.0,0.4444,100.0,1.0,3.0
41465,1,1,2.0,0.0,0.0,119835.0,119835.0
397423,1,1,5.0,0.4,100.0,0.0,2.0
